source,target
RE-754.txt,DD-755.txt
RE-754.txt,DD-756.txt
RE-754.txt,DD-757.txt
RE-751.txt,DD-752.txt
RE-751.txt,DD-753.txt
RE-746.txt,DD-747.txt
RE-746.txt,DD-748.txt
RE-741.txt,DD-742.txt
RE-741.txt,DD-743.txt
RE-741.txt,DD-744.txt
RE-741.txt,DD-745.txt
RE-739.txt,DD-740.txt
RE-736.txt,DD-737.txt
RE-729.txt,DD-727.txt
RE-729.txt,DD-728.txt
RE-729.txt,DD-730.txt
RE-729.txt,DD-731.txt
RE-729.txt,DD-732.txt
RE-729.txt,DD-733.txt
RE-729.txt,DD-734.txt
RE-729.txt,DD-735.txt
RE-729.txt,DD-768.txt
RE-722.txt,DD-763.txt
RE-672.txt,DD-767.txt
RE-668.txt,DD-762.txt
